screen_name	number_tweets
ABachelay-tweets.json	3207
ACanayer-tweets.json	247
agrosskost-tweets.json	294
AKaram973-tweets.json	251
alainchretien-tweets.json	611
alainjuppe-tweets.json	3245
AlainTourret-tweets.json	291
Alain_Gest-tweets.json	2101
al_rousset-tweets.json	3165
AndreChassaigne-tweets.json	982
AndrSaint-tweets.json	340
AnneGrommerch-tweets.json	977
Anne_Hidalgo-tweets.json	3225
AnnickGirardin-tweets.json	1418
annick_leloch-tweets.json	1062
annick_lepetit-tweets.json	3205
ArnaudRichard_-tweets.json	2692
ArnaudRobinet-tweets.json	3161
ArtiguesGilles-tweets.json	3214
ar_leroy-tweets.json	3233
ASantini_UDI-tweets.json	3248
assaf2012-tweets.json	30
aurelifil-tweets.json	1466
AVidalies-tweets.json	2622
axellelemaire-tweets.json	3202
AxelPoniatowski-tweets.json	235
Ayledain-tweets.json	3208
a_leboeuf-tweets.json	1511
A_Suguenot-tweets.json	2052
barbarapompili-tweets.json	3180
bardyserge-tweets.json	412
BasPhilippe-tweets.json	2460
bayrou-tweets.json	2717
BCazeneuve-tweets.json	1267
benoistapparu-tweets.json	3197
benoithamon-tweets.json	3223
BernardAccoyer-tweets.json	2448
bernardreynes-tweets.json	922
bernardroman59-tweets.json	3062
Bernard_Debre-tweets.json	3180
BerraNora-tweets.json	2079
BertrandDelanoe-tweets.json	1226
BertrandPancher-tweets.json	2506
bgerard59-tweets.json	47
blanc_etienne-tweets.json	1067
BLesterlin-tweets.json	52
BNAzerot-tweets.json	318
BourguignonBrig-tweets.json	2872
bretonxavier-tweets.json	1337
BrigitteAllain-tweets.json	1378
bromagnan-tweets.json	1503
BrunoLeMaire-tweets.json	3191
BrunoLeRoux-tweets.json	3048
BuisSabine-tweets.json	3199
B_Perrut-tweets.json	1189
CaroleDelga-tweets.json	2909
CathLEMORTON-tweets.json	425
CaTroallic-tweets.json	1768
CaVautrin-tweets.json	2931
ca_ginesy-tweets.json	2419
CCaresche-tweets.json	3200
CCastaner-tweets.json	3228
ccavard-tweets.json	1405
CdeRoccaSerra-tweets.json	396
Cdganay-tweets.json	718
CecileDuflot-tweets.json	3210
CECKERT56-tweets.json	914
cestrosi-tweets.json	3208
Chabanne_Nat-tweets.json	261
chantalguittet-tweets.json	774
chborgel-tweets.json	2467
chevenement-tweets.json	3214
christianpaul58-tweets.json	3215
christian_kert-tweets.json	2346
christineboutin-tweets.json	3227
Chris_Bouillon-tweets.json	1519
ChTaubira-tweets.json	1771
Ch_Leonard-tweets.json	294
claudebartolone-tweets.json	3234
ClaudeGoasguen-tweets.json	3182
ClaudeGreff-tweets.json	1006
Claudine_Schmid-tweets.json	780
clergeaumf-tweets.json	2531
ClotildeVALTER-tweets.json	3228
ConchitaLacuey-tweets.json	21
corinnelepage-tweets.json	3197
cotteljj-tweets.json	670
cpiresbeaune-tweets.json	945
c_capdevielle-tweets.json	3182
C_deCourson-tweets.json	831
c_erhel_deputee-tweets.json	2449
damienabad-tweets.json	2541
danielvaillant-tweets.json	475
danycohnbendit-tweets.json	131
DaSilvaCarlos91-tweets.json	2896
datirachida-tweets.json	2557
DAUBRESSE_MP-tweets.json	1409
DavidLEFEVREFri-tweets.json	146
DBertinotti-tweets.json	1204
Dbussereau-tweets.json	3201
DDouillet-tweets.json	564
delaverpilliere-tweets.json	688
delphinebatho-tweets.json	2716
Denis_Baupin-tweets.json	3219
DeputeCVautrin-tweets.json	1
deputeeChauvel-tweets.json	414
DeputeMartin-tweets.json	875
deputepinville-tweets.json	1
DeputeTardy-tweets.json	3220
DevedjianP-tweets.json	1246
DFasquelle-tweets.json	3002
Dhoffmanrispal-tweets.json	532
DominiqueDord-tweets.json	870
DominiqueGillot-tweets.json	319
DominiquePaille-tweets.json	2881
Dominique_TIAN-tweets.json	370
doorjean-tweets.json	768
Doucet_Sandrine-tweets.json	2055
DuboisMarianne-tweets.json	621
DubyMuller-tweets.json	3210
dupontaignan-tweets.json	3231
ebareigts-tweets.json	1573
ECiotti-tweets.json	3238
EdouardCourtial-tweets.json	1213
Elie_ABOUD-tweets.json	589
elisabethguigou-tweets.json	1997
ElisabethPochon-tweets.json	3215
EmmanuelMacron-tweets.json	785
EPhilippe_LH-tweets.json	1712
ericalauzet-tweets.json	1273
EricBessonFr-tweets.json	731
EricJALTON-tweets.json	337
ericstraumann-tweets.json	122
ericwoerth-tweets.json	1656
erwannbinet-tweets.json	2598
estellegrelier-tweets.json	3208
EvaJoly-tweets.json	2612
EvaSasAN-tweets.json	3000
faureolivier-tweets.json	2668
FCarreyConte-tweets.json	3044
fcuvillier-tweets.json	3160
fdebeauce-tweets.json	15
FdeRugy-tweets.json	3223
fdubois2012-tweets.json	17
fdumasdeputee-tweets.json	2632
fguegot-tweets.json	426
fhollande-tweets.json	3208
FLefebvre_RF-tweets.json	3191
fleurpellerin-tweets.json	3195
florent_boudie-tweets.json	1713
Fmassat09-tweets.json	3202
fm_lambert-tweets.json	3220
fournier_armand-tweets.json	367
fpupponi-tweets.json	312
franckmarlin-tweets.json	165
FranckReynier-tweets.json	1530
franckriester-tweets.json	1919
FrancoisAndre35-tweets.json	1476
francoisbaroin-tweets.json	381
FrancoisFillon-tweets.json	3223
frebsamen-tweets.json	3183
Fred_Barbier-tweets.json	1112
fvannson-tweets.json	155
F_DombreCoste-tweets.json	1092
f_philippot-tweets.json	3239
F_Verdier-tweets.json	2929
gaillard_2014-tweets.json	289
GBachelay-tweets.json	414
GBOURDOULEIX-tweets.json	146
gchevrollier-tweets.json	1241
GDarmanin-tweets.json	3236
GeorgesFENECH-tweets.json	1662
GerardCherpion-tweets.json	312
gerardcollomb-tweets.json	3192
gerardsebaoun-tweets.json	3206
germinalpeiro-tweets.json	169
GIBBS_SXM-tweets.json	308
GilbertCollard-tweets.json	3213
gilbertlebris-tweets.json	1101
GillesCarrez-tweets.json	534
gilleslurton-tweets.json	1585
GiseleBiemouret-tweets.json	827
GLarrive-tweets.json	3225
GMChauveau-tweets.json	511
GoldbergDaniel-tweets.json	2815
guillaumegarot-tweets.json	2815
guychambefort-tweets.json	3247
guyteissier-tweets.json	1874
Guy_Delcourt-tweets.json	3219
G_ROUILLARD-tweets.json	2847
harlemdesir-tweets.json	3227
HdeRaincourt-tweets.json	450
henrijibrayel-tweets.json	1449
HerveMariton-tweets.json	2849
HervePellois-tweets.json	836
Herve_Morin-tweets.json	3214
HGaymard-tweets.json	243
HMouretConway-tweets.json	2526
HuguesFourage-tweets.json	2276
IsabelleBrunea1-tweets.json	1386
IsabelleBruneau-tweets.json	1
JacquesBompard-tweets.json	2068
JacquesCresta-tweets.json	726
jakossowski-tweets.json	874
JCBOUCHET-tweets.json	65
jccambadelis-tweets.json	3225
JCFromantin-tweets.json	3219
jcguibal-tweets.json	494
JCheminade-tweets.json	3186
jclagarde-tweets.json	3179
JCTaugourdeau-tweets.json	1180
JC_Mignon77-tweets.json	2243
jdciot-tweets.json	317
jeanlassalle-tweets.json	2783
JeanLeonetti-tweets.json	2247
jeanlouiscostes-tweets.json	962
JeanLucBleunven-tweets.json	888
JeanLucRomero-tweets.json	3227
jeanmarcayrault-tweets.json	3199
JeanMarieTetart-tweets.json	788
JeanPierreGiran-tweets.json	3
Jean_Grellier-tweets.json	33
jechartier-tweets.json	3198
JeromeGuedj-tweets.json	3207
JFMancel-tweets.json	2557
jfpoisson78-tweets.json	3084
jf_cope-tweets.json	3175
JF_Lamour-tweets.json	2023
jjcandelier-tweets.json	568
jjguillet-tweets.json	678
JJUrvoas-tweets.json	2737
JLBorloo-tweets.json	1455
JLDestans-tweets.json	410
JLGagnaire-tweets.json	3164
JLMelenchon-tweets.json	3233
jlmoudenc-tweets.json	2743
jlroumegas-tweets.json	674
JMBaylet-tweets.json	1258
jmbeffara-tweets.json	688
jmclement86-tweets.json	181
jmcouve-tweets.json	332
jmgermain-tweets.json	3023
jm_leguen-tweets.json	2165
JM_Todeschini-tweets.json	760
Joellehuillier-tweets.json	358
josebove-tweets.json	2230
jpblazy-tweets.json	6
jpdecool-tweets.json	574
jpmaggi_depute-tweets.json	1722
JpmMALLE-tweets.json	231
jpraffarin-tweets.json	3203
jp_gille-tweets.json	3209
JS_Vialatte-tweets.json	2984
Juanico-tweets.json	3221
juliendray-tweets.json	1581
JulieSOMMARUGA-tweets.json	113
jvalax-tweets.json	227
jvlody-tweets.json	430
JVPlace-tweets.json	3205
JYCaullet-tweets.json	2204
JY_LeDrian-tweets.json	661
kaderarif-tweets.json	459
karamanli72-tweets.json	59
Karine_Berger-tweets.json	3229
Lagarde-tweets.json	682
LamureE-tweets.json	386
lamy_f-tweets.json	1379
langladecolette-tweets.json	511
lauredlr-tweets.json	3223
LaurenceAbeille-tweets.json	2158
laurentbaumel-tweets.json	1265
LaurentFabius-tweets.json	3199
laurentwauquiez-tweets.json	2325
laurossignol-tweets.json	3172
lecallennec-tweets.json	1815
LellouchePierre-tweets.json	414
lemenerdom-tweets.json	1306
lepenjm-tweets.json	680
LGRANDGUILLAUME-tweets.json	3230
Lignierescassou-tweets.json	1955
Linda_Gourjade-tweets.json	279
lionnelluca06-tweets.json	3227
LMarcangeli-tweets.json	1200
LucBELOT-tweets.json	3203
LucChatel-tweets.json	2987
LucePane1-tweets.json	43
LucetteLousteau-tweets.json	1435
MACarlotti-tweets.json	2330
MAlliotMarie-tweets.json	1502
mamontchamp-tweets.json	2889
mandonthierry-tweets.json	1437
manuelvalls-tweets.json	903
marcelrogemont-tweets.json	605
Marclaffineur-tweets.json	1141
marclefur-tweets.json	1996
MarieRecalde-tweets.json	485
Marion_M_Le_Pen-tweets.json	3226
MarisolTouraine-tweets.json	1196
MARLEIXAlain-tweets.json	23
MartineAubry-tweets.json	494
MartineFaure-tweets.json	257
MartineMartinel-tweets.json	2955
MartinePinville-tweets.json	839
MathieuHanotin-tweets.json	1330
MatthiasFekl-tweets.json	1127
MauriceLeroy-tweets.json	3226
ma_chapdelaine-tweets.json	2118
mdestot-tweets.json	653
MeunierPh-tweets.json	5
MFBechtel-tweets.json	596
MHFabre-tweets.json	341
MichelBarnier-tweets.json	2681
micheledelaunay-tweets.json	3240
michelfrancaix-tweets.json	501
MichelPiron-tweets.json	1931
MichelPouzol-tweets.json	723
MichelVERGNIER-tweets.json	251
MichelZumkeller-tweets.json	281
Michel_MENARD-tweets.json	2117
mlebranchu-tweets.json	1789
MLEFAIT-tweets.json	177
mloumarcel-tweets.json	682
MLP_officiel-tweets.json	3221
MLReynaud16-tweets.json	192
moniqrabin-tweets.json	795
MoniqueIborra-tweets.json	1933
moniqueorphe-tweets.json	675
montebourg-tweets.json	1506
MORELPIERRE-tweets.json	2237
moyne_bressand-tweets.json	29
MTabarot-tweets.json	955
MyriamElKhomri-tweets.json	2426
m_bouvard-tweets.json	138
nadine__morano-tweets.json	3197
najatvb-tweets.json	3197
nathalieappere-tweets.json	2482
NicolasSansu-tweets.json	809
NicolasSarkozy-tweets.json	3225
nicoleameline-tweets.json	245
nk_m-tweets.json	3209
nnieson-tweets.json	321
noelmamere-tweets.json	1
ODassault-tweets.json	1726
olbesancenot-tweets.json	2192
olivieraudibert-tweets.json	1178
olivierdussopt-tweets.json	3187
OlivierFalorni-tweets.json	151
oliviermarleix-tweets.json	554
OlivierMaud-tweets.json	2031
olivierveran-tweets.json	3238
olivier_carre-tweets.json	3135
pascalcherki-tweets.json	3198
Pascaleboistard-tweets.json	3198
pascalpopelin-tweets.json	882
PatricePrat-tweets.json	799
PatrickKanner-tweets.json	3138
patricklabaune-tweets.json	949
patrickmennucci-tweets.json	3166
PatrickVignal-tweets.json	3206
patrick_ollier-tweets.json	1213
Paul_Molac-tweets.json	1074
Pau_Langevin-tweets.json	1569
pbloche-tweets.json	1983
pcanfin-tweets.json	3196
pdoucet-tweets.json	3240
pelissard-tweets.json	8
pgiacobbi-tweets.json	2443
phgosselin-tweets.json	3207
PhilipCordery-tweets.json	2757
philippebaumel-tweets.json	231
PhilippeBIES-tweets.json	2387
PhilippeCochet-tweets.json	625
PhilippeDuron-tweets.json	3229
philippefolliot-tweets.json	2665
PhilippeGomesCE-tweets.json	1539
philippekemel-tweets.json	2332
PhilippeLERAY56-tweets.json	970
PhilippeNauche-tweets.json	3233
PhilippeNogues-tweets.json	844
PhilippePoutou-tweets.json	2350
PhilippeVitel-tweets.json	2023
Philippe_Goujon-tweets.json	2706
PHouillon-tweets.json	676
pierrealainmuet-tweets.json	597
PierreMorange-tweets.json	28
pierremoscovici-tweets.json	3250
plisson2012-tweets.json	294
PotierDominique-tweets.json	645
PouriaAmirshahi-tweets.json	3192
pterrasse-tweets.json	3190
pyleborgn-tweets.json	687
Raimbourg2012-tweets.json	160
ramayade-tweets.json	1256
RHammadi-tweets.json	3221
RichardFerrand-tweets.json	2281
Rihan_Cypel-tweets.json	3213
RKaroutchi-tweets.json	2013
RoussetAlain-tweets.json	242
RoyalSegolene-tweets.json	3237
rudysalles-tweets.json	3196
sandrinehurel-tweets.json	236
sauvadet-tweets.json	3219
SebastienDenaja-tweets.json	3234
SebastienHuyghe-tweets.json	3192
SergeLetchimy-tweets.json	1976
sergiocoronado-tweets.json	3227
SeybahDagoma-tweets.json	831
SLeFoll-tweets.json	3181
solere92-tweets.json	3239
SoniaLagarde-tweets.json	56
SophieDessus-tweets.json	297
SophieDion74-tweets.json	1322
SophieErrante-tweets.json	576
StTRAVERT-tweets.json	3229
SuzanneTallard-tweets.json	219
sylvianebulteau-tweets.json	3191
SylviaPinel-tweets.json	3154
SylviePichot-tweets.json	584
SylvieTolmont-tweets.json	3233
sy_berrios-tweets.json	914
S_Mazetier-tweets.json	3219
s_neuville-tweets.json	893
S_PIETRASANTA-tweets.json	3172
ThierryMARIANI-tweets.json	3212
Th_Braillard-tweets.json	3213
trepentin-tweets.json	910
trobert974-tweets.json	1431
tthevenoud-tweets.json	194
valerieboyer13-tweets.json	3227
Valerie_Corre-tweets.json	18
Valerie_Rabault-tweets.json	1901
VALLINIAndre-tweets.json	1818
Vauzelle-tweets.json	1779
vfourneyron-tweets.json	3234
VictorinLurel-tweets.json	2658
VigierPhilippe-tweets.json	1784
Villepin-tweets.json	615
VincentFeltesse-tweets.json	3235
Vincent_Peillon-tweets.json	299
VLacroute-tweets.json	462
VMassonneau-tweets.json	2278
vpecresse-tweets.json	3200
william_dumas-tweets.json	1337
xavierbertrand-tweets.json	3243
XavierDarcos-tweets.json	37
YaminaBenguigui-tweets.json	1517
yanngalut-tweets.json	3202
YannickMOREAU-tweets.json	3152
yfavennec-tweets.json	3212
YvesAlbarello-tweets.json	20
yvesjego-tweets.json	3203
